,Title
72,Comcast customer surprised to learn new router is also public hotspot | Ars Technica
73,"Great, Hackers Can Use Snapchat To DoS Attack Your Phone | Gizmodo Australia"
74,Microsoft strengthens cybercrime-fighting partnership with Europe | V3
75,Reports: Target warned before data breach
76,UK Ministry of Justice downed by DDoS attack linked to NSA spying revelations | ITProPortal
77,"Weird, self-replicating 'TheMoon' worm crawls into Linksys routers | PCWorld"
78,THOUSANDS of Tesco.com logins and passwords leaked online • The Register
79,"Syrian Electronic Army hacks Forbes, steals user data - CNET"
80,Iron Tiger Campaign Stolen ‘Terabytes’ of Data in APAC and US - Infosecurity Magazine
81,ENGLISH SUMMARY – Belgian professor in cryptography hacked - De Standaard
82,Satnews Publishers: Daily Satellite News
83,"WordPress two-factor login plugin bug, er, bypasses 2-factor login • The Register"
84,E-Z-2-Use attack code exploits critical bug in majority of Android phones | Ars Technica
85,Iranian hack of US Navy network was more extensive and invasive than previously reported - The Verge
86,Anonymous To Verizon - Pastebin.com
87,"UK unis, McAfee collude to beat collusion attacks • The Register"
88,"Korean credit card companies hit with 90-day, $100m sales ban • The Register"
89,Mess With Boeing's New Smartphone And It Will Self-Destruct - ABC News
90,Sears says investigating possible security breach
91,Sears Looks for Possible Data Breach With Secret Service - Bloomberg
92,"Fake Google Maps listings recorded calls to the FBI, Secret Service - The Verge"
93,Ellen DeGeneres selfie at Oscars 2014 breaks Twitter
94,How Fandango and Credit Karma exposed millions of smartphone users’ data | Ars Technica
95,Why Gmail and other e-mail services aren't really free - CNN
96,Fire Sale on Cards Stolen in Target Breach — Krebs on Security
97,Profiling hacking for hire services offered in the underground
98,"University of Maryland computer security breach exposes 300,000 records - The Washington Post"
99,Hiding in plain sight: a story about a sneaky banking Trojan - Malwarebytes Labs | Malwarebytes Labs
100,Google developing phone that views in 3D | Computerworld
101,"Neiman Marcus Hackers Set Off 60,000 Alerts While Bagging Credit Card Data - Bloomberg"
102,Google buys UK startup to fight click fraud | Alphr
103,Evil or benign? 'Trusted proxy' draft debate rages on • The Register
104,Protecting customer data from government snooping – The Official Microsoft Blog
105,Microsoft announces Brussels Transparency Center at Munich Security Conference – Microsoft on the Issues
106,Saving private spying: IETF Draft reveals crypto-busting proxy proposal • The Register
107,Apple releases iOS 7.0.6 with security connection fix | ZDNet
108,Huawei Launches Next Generation Anti-DDoS Solution at RSA® Conference 2014 - Press Release - Digital Journal
109,"Password bug let me see shoppers' credit cards in eBay ProStores, claims infosec bod • The Register"
110,LinkedIn Sends Cease-and-Desist to Sell Hack Plug-In Maker | Threatpost | The first stop for security news
111,Akamai Heartbleed patch not a fix after all - CNET
112,"Crap hospital databases next goldmine for cyber-crooks, say Microsoft's botnet slayers • The Register"
113,Cyberattacks are on the rise. And health-care data is the biggest target. - The Washington Post
114,"Health-care sector vulnerable to hackers, researchers say - The Washington Post"
115,Team Cymru exposes SOHO router compromise
116,"Hacktivists, Cyber-Spies at War in Ukraine, Russia Conflict | PCMag.com"
117,New design flaw found in crypto's TLS: Pretend to be a victim online • The Register
118,"Triple Handshake TLS Attacks Target Resumption, Renegotiation | Threatpost | The first stop for security news"
119,Stolen Laptop Exposes AppleCare Customers' Data
120,"Thieves Jam Up Smucker’s, Card Processor — Krebs on Security"
121,Yahoo will block Google and Facebook accounts from accessing its services - The Verge
122,"Yahoo to stop user access of services with Facebook, Google IDs"
123,Pre-installed malware found on new Android phones | Computerworld
124,Target's head of technology resigns in wake of devastating data breach - The Verge
125,Android banking malware blocks victims’ outgoing calls to customer service | Symantec Connect Community
126,New technique targets C code to spot malware attacks - Help Net Security
127,"Beware of credit-card hack affecting Chicago taxis, bank tells customers | Ars Technica"
128,Security Alerts | firstambank.com
129,Ukraine and Russia locked in a cyber stand-off
130,Russia and Ukraine in cyber 'stand-off' - BBC News
131,Tor-enabled malware stole credit card data from PoS systems at dozens of retailers | PCWorld
132,Crypto Error Leaves Hundreds of Applications Open to Fake Certificates - Infosecurity Magazine
133,"Critical crypto bug leaves Linux, hundreds of apps open to eavesdropping | Ars Technica"
134,Twelve million hit as Korea suffers ANOTHER massive data breach • The Register
135,Phisherman's friend: Confused hacktivists deface FAKE BANK SITE • The Register
136,"New crimeware tool Dendroid makes it easier to create Android malware, researchers warn | ITworld"
137,Malware designed to take over cameras and record audio enters Google Play | Ars Technica
138,Keurig’s next generation of coffee machines will have DRM lockdown | Ars Technica
139,How to hijack MILLIONS of Samsung mobes with man-in-the-middle diddle • The Register
140,Got a Netgear router from Virgin Media? Change your admin password NOW • The Register
141,Can this $70 dongle stem the epidemic of password breaches? | Ars Technica
142,Two Arrested at Brooklyn Bank With A.T.M. Fraud Device - The New York Times
143,"Attackers trick 162,000 WordPress sites into launching DDoS attack | Ars Technica"
144,"More Than 162,000 WordPress Sites Used for Distributed Denial of Service Attack"
145,Navy Network Hack has Valuable Lessons for Companies | CIO
146,"95% of bank ATMs face Windows XP security deadline - Mar. 4, 2014"
147,Dianne Feinstein: CIA May Have Broken The Law To Spy On Senate Staff | HuffPost
148,Backdoor snoops can access files on your Samsung phone via the cell network – claim • The Register
149,Backdoor in Samsung Galaxy devices 'allows remote access to data' | ZDNet
150,Vodafone Germany looks to provide end-to-end encryption with SIM signatures • The Register
151,"IT news, careers, business technology, reviews | Computerworld"
152,Target Missed Warnings in Epic Hack of Credit Card Data - Bloomberg
153,How Target detected hack but failed to act -- Bloomberg - CNET
154,"Ethical hacker backer hacked, warns of email ransack • The Register"
155,EC-Council takes the privacy and confidentiality of their customers very seriously. - EC-Council
156,EC-Council - Wikipedia
157,Home Routers at Core of DNS-Based DDoS Amplification Attacks | Threatpost | The first stop for security news
158,Heartbleed Update - The Akamai Blog
159,Apple outlines process for handing over your data to law enforcement - The Verge
160,"NATO websites hit by DDoS cyber attacks, Ukraine group claims responsibility | News | DW | 16.03.2014"
161,NATO websites hit by DDoS attack - Security - iTnews
162,LightOut is Latest Cyber Threat to Target Energy Sector - Infosecurity Magazine
163,Malaysia Airlines Flight MH370 ‘Cyber Hijack’ Theory Emerges By International Business Times
164,"Is no browser safe? Security bods poke holes in Chrome, Safari, IE, Firefox and earn $1m • The Register"
165,"Pwn2Own 2014 Claims IE, Chrome, Safari and More Firefox Zero-Days"
166,UK Spam Campaign Warns Victims They May Have Cancer - Infosecurity Magazine
167,Convicted Hacker 'Weev' Gets Another Chance At Freedom | HuffPost
168,"Japan holds first broad cybersecurity drill, frets over Olympics risks"
169,"Kick us as hard as you like, RIGHT IN THE CYBERS, says Japan • The Register"
170,New Locky ransomware version can operate in offline mode | CSO Online
171,ICANN 101: Who Will Oversee the Internet? - Washington Wire - WSJ
172,Backlash over administration decision to relinquish control of Internet overseer | Fox News
173,"Hacker crashes Google Play -- twice - Mar. 17, 2014"
174,Gone phishing: Army uses Thrift Savings Plan in fake e-mail to test cybersecurity awareness - The Washington Post
175,Citroen becomes the latest victim of Adobe ColdFusion hackers | Technology | The Guardian
176,Google DNS briefly hijacked to Venezuela | Ars Technica
177,Hackers hit Unix servers to send 35 million spam messages a day | V3
178,"10,000 Linux servers hit by malware serving tsunami of spam and exploits | Ars Technica"
179,"Mobile security firm Lookout names new CEO, looks to expand"
180,Research Finds MAC Address Hashing Not a Fix for Privacy Problems | Threatpost | The first stop for security news
181,Trustwave Acquires Cenzic to Add Dynamic Testing - Infosecurity Magazine
182,"Lilly Pulitzer Collection Sale A Hit For Target; Retailer’s Website, App Went Down Due To Heavy Demand"
183,Taking Down Fraud Sites is Whac-a-Mole — Krebs on Security
184,Cyber Deterrence In Action: Hurricane Panda | CrowdStrike Blog
185,Operation RussianDoll: Adobe & Windows Zero-Day Exploits Likely Leveraged by Russia’s APT28 in Highly-Targeted Attack « Operation RussianDoll: Adobe & Windows Zero-Day Exploits Likely Leveraged by Russia’s APT28 in Highly-Targeted Attack | FireEye Inc
186,"IoT creates new set of risks, orgs embrace active defense - Help Net Security"
187,Internet Security Marketing: Buyer Beware
188,US plans to apply export controls to 0-days put out for comment • The Register
189,Herbert Lin: How Companies Can Ward Off the Hacker Hordes - WSJ
190,DoS Attacks on iOS Devices - What is the No iOS Zone?
191,RSA chief to security pros: Stop addressing the wrong problems | Network World
192,Anonymous brings down 30 Chinese government websites to support Hong Kong protesters
193,Wheeler: Networks Must Take Cybersecurity Lead | Broadcasting & Cable
194,"Everything you need to know about 'swatting,' the increasingly popular prank of calling a SWAT team on an unsuspecting person while the internet watches | Business Insider India"
195,Debugging and reverse engineering: Samsung deliberately disabling Windows Update the way the user intends it to
196,The Netherlands paves the way for carrier-free SIM cards - CNET
197,Full Disclosure Security Mailing List Shuts Down | Threatpost | The first stop for security news
198,Android PMS Privilege Escalation Vulnerabilities Found | Threatpost | The first stop for security news
199,Syria's Internet goes dark for several hours - CNET
200,"Taken in phishing attack, Microsoft’s unmentionables aired by hacktivists | Ars Technica"
201,Hacked emails show what Microsoft charges the FBI for user data | The Daily Dot
202,Google Encrypts All Gmail Connections | Threatpost | The first stop for security news
203,Google Knew About Heartbleed and Didn’t Tell the Government
204,19-Year-Old Teenager Arrested for Exploiting Heartbleed Bug to Steal Data
205,Student arrested for Heartbleed-exploiting tax agency breach - Help Net Security
206,"OpenSSL bug hunt: Find NEXT Heartbleed, earn $$$ – if enough people donate cash • The Register"
207,Apple: We'll tell users when the Feds come looking for their data • The Register
208,Microsoft admits reading Hotmail inbox of blogger - BBC News
209,Symantec Terminates CEO Steve Bennett | SecurityWeek.Com
210,Sources: Credit Card Breach at California DMV — Krebs on Security
211,Twitter outage hits Turkey as prime minister says he will 'eradicate' it - The Verge
212,CIRA part of new security group | IT World Canada News
213,Public Launch of Secure Domain Foundation: Non-Profit Organization of Internet Infrastructure Operators and Security Experts Join Forces to Identify and Stop Cyber Criminals | news.sys-con.com
214,Will Phone Companies and the NSA Play Nice? - WSJ
215,Extortion racket borks Basecamp servers with 20Gbps web bombing • The Register
216,Microsoft Advisory Warns of Word Zero-Day Attacks | Threatpost | The first stop for security news
217,Mastermind of Comcast scam that lowered customer bills by $2.4 million pleads guilty - The Verge
218,"Bitly discloses account compromise, urges users to change passwords | CSO Online"
219,How to stash secret messages in tweets using point-and-click steganography | Ars Technica
220,Why Dyn just bought global-Internet-monitoring firm Renesys - The Washington Post
221,"It's 2014 and you can pwn a PC by opening a .RTF in Word, Outlook • The Register"
222,"Banks lob sueball at Trustwave, Target over breach • The Register"
223,Target Could Have Prevented Credit Card Hack: Senate Report | HuffPost
224,"U.S. notified 3,000 companies in 2013 about cyberattacks - The Washington Post"
225,ZIP Codes Show Extent of Sally Beauty Breach — Krebs on Security
226,MIT creates a system to “PRISM-proof” websites | Ars Technica
227,New Approach Could Stop Websites from Leaking or Stealing Your Data - MIT Technology Review
228,Apps with millions of Google Play downloads covertly mine cryptocurrency | Ars Technica
229,"Chinese cops cuff 1,500 in fake base station spam raid • The Register"
230,Full Disclosure List Rises From the Ashes For Fresh Start | Threatpost | The first stop for security news
231,Microsoft To Block Unwanted Adware July 1 | Threatpost | The first stop for security news
232,Cerberus app users warned about data breach - Help Net Security
233,White House Releases Plan to End Section 215 Bulk Collection | Threatpost | The first stop for security news
234,Obama formally proposes end to NSA's bulk collection of telephone data | World news | The Guardian
235,Turkey moves to block YouTube access after 'audio leak' - BBC News
236,Google: Turkey is blocking our DNS service - CNET
237,"Google, Level 3 DNS services hijacked by TurkTelekom | PCWorld"
238,AWS urges developers to scrub GitHub of secret keys - Security - Software - iTnews
239,"Amazon is decompiling our apps in security gaffe hunt, says dev • The Register"
240,"Microsoft: Let's be clear, WE won't read your email – but the cops will • The Register"
241,US supreme court to decide whether software can be patented | Technology | The Guardian
242,Researcher Identifies Potential Security Issues in Tesla S | Threatpost | The first stop for security news
243,"Fandango, Credit Karma Settle FTC Charges that They Deceived Consumers By Failing to Securely Transmit Sensitive Personal Information | Federal Trade Commission"
244,LinkedIn email addresses exposed by plug-in software - BBC News
245,Report: RSA endowed crypto product with second NSA-influenced code | Ars Technica
246,NSA-inspired software sped up code-cracking efforts - BBC News
247,Exclusive: NSA infiltrated RSA security more deeply than thought - study
248,Google Takes Wi-Fi Snooping Scandal to the Supreme Court | WIRED
249,Google asks Supreme Court to settle Street View privacy lawsuit - The Verge
250,24 million routers expose ISPs to DNS-based DDoS attacks - Help Net Security
251,United Airlines Kicks Computer Expert Off Flight For Tweets
252,Computer security expert blocked from flight after tweets
253,Hackers Turn Security Camera DVRs Into Worst Bitcoin Miners Ever | WIRED
254,"Experts Unhappy with Oracle’s Java Cloud Patching Process, Vulnerability Details Published"
255,Android Botnet Targets Middle East Banks — Krebs on Security
256,"Florida Government Website Compromised, Set Up to Serve Malware"
257,Google's Nest halts sales of its fire alarm – because waving your hand switches it off • The Register
258,Exclusive: U.S. states probing security breach at Experian unit
259,U.S. States Investigating Breach at Experian — Krebs on Security
260,Chinese Investment In U.S. Tech Booms Despite Cybersecurity Fears | HuffPost
261,High Tech: The Next Wave of Chinese Investment in America | Asia Society
262,Facebook Bug Bounty Submissions Dramatically Increase | Threatpost | The first stop for security news
263,"Palo Alto Networks, FireEye Criticize NSS Labs; Testing Firm Defends Itself - Page: 1 | CRN"
264,NSS Labs hits back at FireEye 'untruths' | CRN
265,FireEye and AhnLab found wanting by NSS boffins | CRN
266,Microsoft to start blocking annoying adware by default | PCWorld
267,Xbox password flaw exposed by five-year-old boy - BBC News
268,Bank-raid ZeuS malware waltzes around web with 'valid app signature' • The Register
269,US proposes tighter export rules for computer security tools | CSO Online
270,China cracks down further on VPNs as censorship intensifies • The Register
271,"'Heartbleed' bug undoes Web encryption, reveals Yahoo passwords - CNET"
272,Heartbleed: Serious OpenSSL zero day vulnerability revealed | ZDNet
273,Heartbleed Bug
274,"FFIEC Advisory Letter - November 19, 1999"
275,Connecting the Dots Between Cookies and Identities | Threatpost | The first stop for security news
276,"How a website flaw turned 22,000 visitors into a botnet of DDoS zombies | Ars Technica"
277,"Microsoft Issues Final XP, Office 2003 Updates for Patch Tuesday | PCMag.com"
278,Windows XP Isn't Safe to Use Anymore. Here's What to Do Next.
279,"Whitehat hacker goes too far, gets raided by FBI, tells all | Ars Technica"
280,Kaspersky Lab patents method for detecting malware - CIOL
281,Comcast considers creating its own mobile phone service | Ars Technica
282,"The Feds Cut a Deal With In-Flight Wi-Fi Providers, and Privacy Groups Are Worried | WIRED"
283,It may be ILLEGAL to run Heartbleed health checks – IT lawyer • The Register
284,The Results of the CloudFlare Challenge
285,Confirmed: hackers can use Heartbleed to steal private SSL keys - CSO | The Resource for Data Security Executives
286,Tests confirm Heartbleed bug can expose server's private key | PCWorld
287,Heartbleed Bug: NSA Did Not Know About It | Time
288,Google weighs preferential treatment for encrypted websites | TechRadar
289,"NSA Said to Have Used Heartbleed Bug, Exposing Consumers - Bloomberg"
290,Appeals Court Overturns Conviction of AT&T Hacker Known as 'Weev' - The New York Times
291,Hacker/troll ‘weev’ will walk free. But the court didn’t rule on the main issue. - The Washington Post
292,U.S. rallied multinational response to 2012 cyberattack on American banks - The Washington Post
293,US opted for diplomacy over hacking to curb Iran cyberattacks in 2012 - The Verge
294,One year on: diplomatic fail as Chinese APT gangs get back to work • The Register
295,FTC gets judicial thumbs-up to SUE firms over data breaches • The Register
296,"Mobile Spyware Maker mSpy Hacked, Customer Data Leaked — Krebs on Security"
297,Heartbleed hacks hit Mumsnet and Canada's tax agency - BBC News
298,Canadian taxman says hundreds pierced by Heartbleed SSL skewer • The Register
299,"Heartbleed is about to get worse, and it will slow the Internet to a crawl - The Washington Post"
300,Juniper Networks eyes sale of mobile security unit Pulse -sources
301,"Assume your GitHub account is hacked, users with weak crypto keys told | Ars Technica"
302,$4 billion: Bogus tax refunds a growing problem
303,IRS Criminal Investigation Combats Identity Theft Refund Fraud | Internal Revenue Service
304,IRS Intensifies Fight against Identity Theft and Tax Refund Fraud | Accounting Today
305,Install April Windows 8.1 Update If You Want Security Patches | Threatpost | The first stop for security news
306,Fingerprint lock in Samsung Galaxy 5 easily defeated by whitehat hackers | Ars Technica
307,"Kardashian website security flaw exposes data for over 600,000 users"
308,U.S. aims to limit exports of undisclosed software flaws
309,Cisco acquires Indian security firm Pawaa - Computer Business Review
310,Magento Patched Remote Execution Hole in eCommerce Platform | Threatpost | The first stop for security news
311,Thinking of selling your old phone? Watch out! | Light Blue Touchpaper
312,City of birth? Why password questions are a terrible idea • The Register
313,Google Fiber pushes automatic piracy fines to subscribers | ZDNet
314,'Kill switch' will come to U.S. phones in 2015 - CNN
315,Heartbleed Internet Security Flaw Used in Attack - The New York Times
316,Now there’s an easy way to flag sites vulnerable to Heartbleed | Ars Technica
317,Reddit users discover iOS malware threat • The Register
318,New 'Google' for the Dark Web Makes Buying Dope and Guns Easy | WIRED
319,Satellite Communication (SATCOM) Devices Vulnerable to Hackers
320,Mission-critical satellite communications wide open to malicious hacking | Ars Technica
321,Arts and crafts store Michaels says 3 million credit cards exposed in breach • The Register
322,"Fake antivirus app pulled from Play Store, Google issues refund and an apology - Android Authority"
323,Google to refund buyers of 'fake' anti-virus app • The Register
324,Google algorithm busts CAPTCHA with 99.8 percent accuracy | ZDNet
325,Easter egg: DSL router patch merely hides backdoor instead of closing it | Ars Technica
326,Apple customers report devices crashing on iOS 9 update
327,Routers TCP 32764 Backdoor Vulnerability Secretly Re-Activated Again
328,OAuth weakness threatens users of social media sites | CSO Online
329,"Serious security flaw in OAuth, OpenID discovered - CNET"
330,Target CEO out as data breach fallout goes on
331,You've got spam mail: Slew of AOL email accounts fall prey to spoofing attack | PCWorld
332,AOL Email Hacked to Send Spam | Threatpost | The first stop for security news
333,Cisco Announces Managed Threat Defense Service
334,NIST removes Dual EC DRBG from SP 800-90A | Threatpost | The first stop for security news
335,"Patch iOS, OS X now: PDFs, JPEGs, URLs, web pages can pwn your kit • The Register"
336,iPhones and Macs get fix for extremely critical “triple handshake” crypto bug | Ars Technica
337,"OpenBSD forks, prunes, fixes OpenSSL | ZDNet"
338,Mystery attack drops avalanche of malicious messages on Twitter | Ars Technica
339,When Hitting ‘Find My iPhone’ Takes You to a Thief’s Doorstep - The New York Times
340,Hackers Can Mess With Traffic Lights to Jam Roads and Reroute Cars | WIRED
341,IBM launches new cybersecurity services
342,"IBM, Symantec boost cybersecurity portfolios | ZDNet"
343,Kaspersky Lab executives depart amid business strategy dispute
344,Twitter hit by wave of malicious messages | Business Standard News
345,Brazil looks to protect privacy and net neutrality with internet bill of rights - The Verge
346,Bevy of tech behemoths aim to plug the next Heartbleed with DOLLARS • The Register
347,Confide brings its beautiful self-destructing messages to Android - The Verge
348,Press release scam pelts poor PRs with volley of UNTRUE invoices • The Register
349,Feds Beg Supreme Court to Let Them Search Phones Without a Warrant | WIRED
350,Biggest EU cyber security exercise taking place today - Help Net Security
351,Change Likely Following Kaspersky Lab Shakeup | Channelnomics
352,This AT&T proposal would end the president’s ability to make priority phone calls in a crisis - The Washington Post
353,Microsoft Warns of Attacks on IE Zero-Day — Krebs on Security
354,Hacker claim about bug in fixed OpenSSL likely a scam | CSO Online
355,SEC to Launch Cybersecurity Exams - BankInfoSecurity
356,Large botnet of CCTV devices knock the snot out of jewelry website | Ars Technica
357,"Zero-day Flash bug under active attack in Windows threatens OS X, Linux too | Ars Technica"
358,Millions of people still use AOL Mail. And now they have to change their passwords. - The Washington Post
359,Heartbleed: Understanding When We Disclose Cyber Vulnerabilities | whitehouse.gov
360,White House Details Thinking on Cybersecurity Flaws - The New York Times
361,Hacker's hedge fund targets vulnerable companies
362,"Cuffing darknet-dwelling cyberscum is tricky. We'll 'disrupt' crims instead, warns top cop • The Register"
363,Google Chrome protection for Heartbleed-hacked sites called “completely broken” | Ars Technica
364,Antivirus pioneer Symantec declares AV “dead” and “doomed to failure” | Ars Technica
365,"Illinois man hacked U.S. Navy, others | Law and order | stltoday.com"
366,Google stops scanning student Gmail accounts following privacy concerns - The Verge
367,Google Stops Scanning Student Gmail Accounts for Ads - Digits - WSJ
368,"After Data Breach, Target Plans to Issue More Secure Chip-and-PIN Cards - The New York Times"
369,How Target's Huge Hacking Could Finally Make Credit Cards Secure | WIRED
370,"Target Appoints New Chief Information Officer, Outlines Updates on Security Enhancements"
371,Level 3 Tries to Waylay Hackers - WSJ
372,VirusTotal Blog: Putting the spotlight on firmware malware
373,Anonymous develops secure data over ham radio scheme • The Register
374,Facebook to allow anonymous log-ins on outside apps - The Washington Post
375,Microsoft fixes big IE bug -- even on Windows XP - CNET
376,Yahoo is the latest company ignoring Web users’ requests for privacy | Ars Technica
377,Yahoo’s Default = A Personalized Experience | Yahoo Global Public Policy
378,Putin signs law forcing bloggers to register with Russian media office - The Verge
379,Do Not Track - Universal Web Tracking Opt Out
380,Test: Smart Home Kits Leave the Door Wide Open – for Everyone | AV-TEST
381,Smart Home Kits Easily Hacked | PCMag.com
382,Sales drop as corporate data breaches rise - Help Net Security
383,Christie signs order to help protect N.J. from cyber attacks | NJ.com
384,'Covert Redirect' OAuth flaw more chest-beat than Heartbleed • The Register
385,Raytheon to Plow $1.7 Billion Into New Cyber Venture - WSJ
386,New fileless malware found in the wild - Help Net Security
387,"Russian hackers uses Flash, Windows zero-day flaws | CSO Online"
388,"HTTPS snooping flaw in third-party library affected 1,000 iOS apps with millions of users | Network World"
389,Sources: Security Firm Norse Corp. Imploding — Krebs on Security
390,Senator: Your futuristic car is putting your privacy and security at risk - The Washington Post
391,Experts say trapping hackers better than keeping them out - Business Insider
392,The Agency - The New York Times
393,"Fearing an FBI raid, researcher publishes 10 million passwords/usernames | Ars Technica"
394,Former Navy Nuclear System Administrator Charged With Hacking The United States Navy And National Geospatial-Ingelligence Agency's Computer Systems | USAO-NDOK | Department of Justice
395,February 2016 Android Nexus Security Bulletin | Threatpost | The first stop for security news
396,Watch a bank-raiding ZeuS bot command post get owned in 60 seconds • The Register
397,Don't let hackers know Mandiant founder checks his email on an iPad. Oh. • The Register
398,Dropbox disables old shared links after tax returns end up on Google | Ars Technica
399,"Dropbox squashes boring bug, restores file sharing • The Register"
400,Dropbox fixes link-sharing data-leaking flaw - Help Net Security
401,Orange warns of Phishing attacks after data breach | CSO Online
402,"Your Android phone viewed illegal porn. To unlock it, pay a $300 fine | Ars Technica"
403,Koler Android Ransomware Targets Users in 31 Countries [Updated]
404,Silly sysadmins ADDING Heartbleed to servers • The Register
405,Snapchat agrees to settle FTC charges that it deceived users - The Washington Post
406,Snapchat Settles FTC Charges That Promises of Disappearing Messages Were False | Federal Trade Commission
407,Heartland issues breach notification letters after computer theft | CSO Online
408,Point DNS blitzed by mystery DDoS assault • The Register
409,Anti-theft mobe KILL SWITCH edges closer to reality in California • The Register
410,Bitly breach details revealed - Help Net Security
411,"Federal court overturns Google v. Oracle decision, setting disastrous precedent - The Verge"
412,Twitter Tweaks Password Security as Account Hacks Continue - Infosecurity Magazine
413,Security reporter tells Ars about hacked 911 call that sent SWAT team to his house (Updated) | Ars Technica
414,Google blocks filesharing website Demonoid over malware downloads | Technology | The Guardian
415,Desert Falcons: First Arabic Cyberespionage Operation Uncovered | Threatpost | The first stop for security news
